stdDay,22D_origin,22D_Predicted
2023-02-19,195.84,196.00587
2023-02-20,97.92,98.12005
2023-02-21,200.88,201.15846
2023-02-22,293.04,293.24207
2023-02-23,239.76001,239.94498
2023-02-24,217.44002,217.80711
2023-02-25,188.64001,188.75856
2023-02-26,223.20001,223.38701
2023-02-27,72.36,72.42025
2023-02-28,177.55,177.96046
2023-03-01,230.48,230.68
2023-03-02,158.79,158.91704
2023-03-03,166.83,167.15872
2023-03-04,209.71,209.95618
2023-03-05,179.56,179.8535
2023-03-06,62.98,63.1465
2023-03-07,198.31999,198.46707
2023-03-08,236.51001,237.04414
2023-03-09,213.06,213.51016
2023-03-10,227.8,228.0864
2023-03-11,190.28001,190.3966
2023-03-12,188.94,189.40038
2023-03-13,60.480003,60.719784
2023-03-14,149.51999,149.71446
2023-03-15,197.68001,198.04951
2023-03-16,150.08,150.50949
2023-03-17,130.48,130.7153
2023-03-18,159.6,159.80476
2023-03-19,137.76,138.17941
2023-03-20,75.6,75.84041
2023-03-21,157.92,158.48912
2023-03-22,229.04001,229.48578
2023-03-23,197.68001,198.2978
2023-03-24,151.2,151.42696
2023-03-25,160.72,161.14876
2023-03-26,127.67999,128.25122
2023-03-27,55.77,55.88172
2023-03-28,114.66,114.509575
2023-03-29,154.05,154.34428
2023-03-30,127.14,127.88319
2023-03-31,131.04001,131.13472
2023-04-01,131.43,131.18913
2023-04-02,130.65,131.2619
2023-04-03,60.84,60.578182
2023-04-04,157.17,156.21658
2023-04-05,217.62,215.78326
2023-04-06,166.53,166.1169
2023-04-07,133.38,134.52536
2023-04-08,130.65,132.09306
2023-04-09,124.409996,123.42396
2023-04-10,37.440002,38.09533
2023-04-11,83.46,86.52831
2023-04-12,118.299995,119.02708
2023-04-13,87.88,86.28093
2023-04-14,96.46,96.59693
2023-04-15,102.96,103.57258
2023-04-16,74.880005,77.60313
2023-04-17,50.96,50.411777
2023-04-18,100.62,101.807625
2023-04-19,146.12,147.9919
2023-04-20,112.579994,113.77427
2023-04-21,110.759995,110.74743
2023-04-22,111.28,109.92673
2023-04-23,92.03999,90.0613
2023-04-24,36.48,36.56
2023-04-25,77.33,77.19045
2023-04-26,104.69,104.78854
2023-04-27,77.9,78.15915
2023-04-28,77.33,87.070045
2023-04-29,91.2,97.095535
2023-04-30,75.24,80.0505
2023-05-01,51.3,51.441715
2023-05-02,72.58,98.74058
2023-05-03,109.06,123.06221
2023-05-04,116.09,94.812904
