stdDay,23A_origin,23A_Predicted
2023-02-19,199.12,180.2028
2023-02-20,95.759995,90.15884
2023-02-21,252.80002,242.19135
2023-02-22,264.16,249.65283
2023-02-23,223.44,184.85449
2023-02-24,198.95999,200.41966
2023-02-25,192.07999,200.28964
2023-02-26,188.72,184.29889
2023-02-27,160.2,142.15094
2023-02-28,426.30002,426.49112
2023-03-01,480.00003,446.9691
2023-03-02,308.85,320.64035
2023-03-03,407.25,325.53326
2023-03-04,459,394.44763
2023-03-05,391.05,333.16876
2023-03-06,194.84999,191.66177
2023-03-07,514.95,474.5601
2023-03-08,520.8,518.63776
2023-03-09,433.95,435.3556
2023-03-10,409.34998,416.91937
2023-03-11,413.25,403.34262
2023-03-12,363.3,380.8218
2023-03-13,372.65,319.00067
2023-03-14,959.32,881.7383
2023-03-15,972.37006,967.1306
2023-03-16,805.04,758.4165
2023-03-17,722.39,746.30304
2023-03-18,752.26,756.9779
2023-03-19,711.66003,695.51776
2023-03-20,349.74,369.1243
2023-03-21,1008.62006,1008.5619
2023-03-22,1115.05,1080.0775
2023-03-23,961.6401,944.58777
2023-03-24,883.05,847.46246
2023-03-25,870,829.6547
2023-03-26,774.88,766.9608
2023-03-27,608.58,572.07904
2023-03-28,1651.8601,1606.666
2023-03-29,1749.38,1709.2007
2023-03-30,1418.18,1405.9017
2023-03-31,1364.3601,1346.2335
2023-04-01,1278.3401,1280.4478
2023-04-02,1261.3201,1223.964
2023-04-03,637.1,620.2242
2023-04-04,1811.4801,1806.4424
2023-04-05,1911.3,1908.7142
2023-04-06,1649.1001,1631.9772
2023-04-07,1408.98,1404.0706
2023-04-08,1320.66,1304.2598
2023-04-09,1293.06,1266.4045
2023-04-10,715.12,714.6655
2023-04-11,2081.52,2148.519
2023-04-12,2313.36,2336.721
2023-04-13,1905.1201,1915.222
2023-04-14,1949.3599,1925.0989
2023-04-15,1915.76,1909.3307
2023-04-16,1667.1201,1676.5613
2023-04-17,976.64,945.05994
2023-04-18,2584.4,2550.536
2023-04-19,2728.88,2709.5715
2023-04-20,2331.8398,2311.0854
2023-04-21,2177.2798,2174.329
2023-04-22,2169.44,2155.3738
2023-04-23,1898.9601,1885.6846
2023-04-24,1022.72003,1015.79663
2023-04-25,2808.32,2799.027
2023-04-26,3073.2798,3065.0747
2023-04-27,2669.44,2662.7173
2023-04-28,2501.1199,2579.567
2023-04-29,2678.4,2595.1619
2023-04-30,2402.5598,2324.328
2023-05-01,1249.92,1152.9436
2023-05-02,3065.6,3203.263
2023-05-03,3856,3427.1965
2023-05-04,3769.5999,3013.5515
