,Alpha_origin,Alpha_Predicted
2021-06-13,0.36,0.50360906
2021-06-14,0.48000002,0.459282
2021-06-15,0.48000002,0.3253375
2021-06-16,0.120000005,0.42930236
2021-06-17,0.71999997,0.22542866
2021-06-18,0.24000001,0.59968287
2021-06-19,0.48000002,0.41064882
2021-06-20,0.36,0.2960649
2021-06-21,0.24000001,0.54794145
2021-06-22,0.24000001,0.3513442
2021-06-23,0.48000002,0.6636653
2021-06-24,0.120000005,0.52714896
2021-06-25,0.59999996,0.37308678
2021-06-26,0.96,0.32099319
2021-06-27,1.44,0.62825435
2021-06-28,0.84,0.5448705
2021-06-29,0.24000001,0.61972004
2021-06-30,0.71999997,0.43236983
2021-07-01,0.84,0.5213764
2021-07-02,0.24000001,0.7232832
2021-07-03,0.36,0.6004693
2021-07-04,0.36,0.5683679
2021-07-05,0.42000002,0.3697811
2021-07-06,0.24000001,0.5003613
2021-07-07,0.65999997,0.5408528
2021-07-08,0.120000005,0.5726483
2021-07-09,0.24000001,0.5980468
2021-07-10,1.2599999,0.46794143
2021-07-11,1.38,0.6309447
2021-07-12,0.84,0.84009147
2021-07-13,0.53999996,0.7387502
2021-07-14,0.9,0.94039166
2021-07-15,1.2599999,0.90818065
2021-07-16,1.38,0.68061715
2021-07-17,0.71999997,1.1098003
2021-07-18,1.38,1.4864811
2021-07-19,0.42000002,0.8701243
2021-07-20,0.74999994,0.7385861
2021-07-21,0.69,1.0413098
2021-07-22,0.32999998,1.0013418
2021-07-23,0.26999998,1.0054888
2021-07-24,0.26999998,0.7477861
2021-07-25,0.39,1.0277596
2021-07-26,0.53999996,0.71236914
2021-07-27,0.69,0.7580139
2021-07-28,0.81,1.0159858
2021-07-29,1.17,0.8476314
2021-07-30,0.74999994,0.8903844
2021-07-31,0.65999997,0.8977452
2021-08-01,0.42000002,1.0025636
2021-08-02,0.17,1.0640193
2021-08-03,0.18,0.92753655
2021-08-04,0.16,0.63505006
2021-08-05,0.17,0.5732072
2021-08-06,0.14,0.50963485
2021-08-07,0.18,0.5810904
2021-08-08,0.32,0.42141446
2021-08-09,0.19,0.45607793
2021-08-10,0.15,0.5170109
2021-08-11,0.2,0.57956904
2021-08-12,0.2,0.7656895
2021-08-13,0.15,0.60819334
2021-08-14,0.17,0.7146639
2021-08-15,0.29,0.76768565
