,23A_origin,23A_Predicted
2023-02-19,50.8,50.92055
2023-02-20,16.08,21.30129
2023-02-21,69.44,76.504814
2023-02-22,64.159996,69.47358
2023-02-23,47.92,50.773354
2023-02-24,53.359997,65.037704
2023-02-25,48.88,52.646313
2023-02-26,43.039997,55.461662
2023-02-27,32.7,36.547268
2023-02-28,110.1,115.461426
2023-03-01,103.2,113.366554
2023-03-02,64.35,73.49228
2023-03-03,96.15,94.776054
2023-03-04,93.6,96.84991
2023-03-05,82.950005,83.98127
2023-03-06,26.1,34.29042
2023-03-07,105.6,111.27107
2023-03-08,102.75,109.357315
2023-03-09,86.549995,89.30273
2023-03-10,79.8,87.01612
2023-03-11,64.5,70.58177
2023-03-12,65.7,72.133644
2023-03-13,41.760002,45.71469
2023-03-14,156.6,152.8996
2023-03-15,157.18,153.05762
2023-03-16,126.73,133.21623
2023-03-17,107.01,118.16974
2023-03-18,95.12,102.059074
2023-03-19,95.700005,97.92127
2023-03-20,23.78,33.0716
2023-03-21,118.899994,134.0846
2023-03-22,123.829994,132.51355
2023-03-23,122.67,124.83036
2023-03-24,90.77,100.621376
2023-03-25,85.840004,80.67526
2023-03-26,80.62,87.753136
2023-03-27,45.08,49.609165
2023-03-28,182.15999,182.1293
2023-03-29,165.6,176.1409
2023-03-30,143.06,149.08589
2023-03-31,160.07999,154.88786
2023-04-01,108.56,118.54369
2023-04-02,115.92,120.14878
2023-04-03,49.22,52.933754
2023-04-04,199.64,194.18805
2023-04-05,188.59999,186.95432
2023-04-06,149.95999,153.10655
2023-04-07,142.59999,145.77884
2023-04-08,95.22,98.99519
2023-04-09,118.68,121.87275
2023-04-10,60.48,65.270035
2023-04-11,211.68,219.30345
2023-04-12,235.2,233.62749
2023-04-13,201.04,201.64774
2023-04-14,202.72,204.97484
2023-04-15,167.43999,173.57552
2023-04-16,170.79999,173.12582
2023-04-17,70.0,68.24083
2023-04-18,232.4,235.70561
2023-04-19,244.71999,249.46896
2023-04-20,226.79999,229.39252
2023-04-21,215.04,217.87648
2023-04-22,219.51999,218.89972
2023-04-23,206.07999,207.65681
2023-04-24,80.64,82.922935
2023-04-25,311.04,313.29404
2023-04-26,343.04,345.3404
2023-04-27,311.68002,313.94205
2023-04-28,326.40002,296.5074
2023-04-29,357.12003,291.29144
2023-04-30,334.72003,300.97485
2023-05-01,117.76,142.2088
2023-05-02,460.16,396.67773
2023-05-03,485.76,429.27872
2023-05-04,495.99997,405.76813
