,22D_origin,22D_Predicted
2023-02-19,215.28,218.77739
2023-02-20,141.12001,147.41933
2023-02-21,228.24,236.75862
2023-02-22,324.0,353.72385
2023-02-23,205.92001,222.91017
2023-02-24,184.32,192.37047
2023-02-25,196.56,207.0365
2023-02-26,204.48001,202.59274
2023-02-27,93.13,100.22411
2023-02-28,213.73,221.37715
2023-03-01,263.31,282.2609
2023-03-02,174.87001,183.07059
2023-03-03,199.66,204.14394
2023-03-04,243.20999,241.80832
2023-03-05,165.49,170.52554
2023-03-06,0.0,0.030173974
2023-03-07,367.83002,372.94336
2023-03-08,310.88,324.8954
2023-03-09,243.20999,246.27065
2023-03-10,220.43001,220.94922
2023-03-11,231.15,234.55713
2023-03-12,196.30998,192.31517
2023-03-13,77.28,74.39918
2023-03-14,201.04,195.06218
2023-03-15,262.64,269.0807
2023-03-16,181.44,190.73047
2023-03-17,182.56001,179.52757
2023-03-18,169.68001,176.02597
2023-03-19,162.4,156.7711
2023-03-20,0.0,-1.7734836
2023-03-21,290.08,292.20605
2023-03-22,280.56,285.56876
2023-03-23,219.51999,224.56444
2023-03-24,191.52,195.10814
2023-03-25,232.95999,226.1698
2023-03-26,188.16,187.61345
2023-03-27,92.04,89.112045
2023-03-28,124.8,129.81117
2023-03-29,205.14,212.4461
2023-03-30,150.54001,152.52911
2023-03-31,140.01,138.32964
2023-04-01,150.54001,139.75247
2023-04-02,115.44,108.705215
2023-04-03,71.37,65.03225
2023-04-04,127.53,126.13139
2023-04-05,208.26,208.914
2023-04-06,161.46,161.63106
2023-04-07,129.87,126.588036
2023-04-08,130.65,128.38078
2023-04-09,91.26,90.30442
2023-04-10,49.399998,46.89443
2023-04-11,91.520004,79.49669
2023-04-12,100.880005,110.96947
2023-04-13,94.380005,91.66191
2023-04-14,85.8,82.74244
2023-04-15,92.04,92.80936
2023-04-16,79.3,78.57026
2023-04-17,40.3,43.929302
2023-04-18,96.979996,86.44157
2023-04-19,131.82,130.04268
2023-04-20,107.899994,104.42477
2023-04-21,105.3,97.408875
2023-04-22,111.020004,104.58627
2023-04-23,84.5,78.56608
2023-04-24,38.0,35.873035
2023-04-25,67.64,65.726776
2023-04-26,102.79,101.10003
2023-04-27,82.84,80.76817
2023-04-28,73.15,74.03485
2023-04-29,80.94,90.42863
2023-04-30,76.19,78.948494
2023-05-01,50.35,46.80941
2023-05-02,74.48,79.29697
2023-05-03,114.0,112.41817
2023-05-04,112.100006,98.65857
